City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Singarayakonda,IN,75.36,15.25,80.0333,Hotel Sabari Paradise A/C Lodge
6,Rikitea,PF,79.75,-23.1203,-134.9692,People ThankYou
9,The Valley,AI,76.86,18.217,-63.0578,CeBlue Villas & Beach Resort
11,Busselton,AU,82.02,-33.65,115.3333,Observatory Guest House
12,Te Anau,NZ,74.84,-45.4167,167.7167,Kingsgate Hotel Te Anau
18,Mataura,NZ,81.45,-46.1927,168.8643,Ellie's Villa
26,Mangrol,IN,75.0,21.1167,70.1167,Hotel The Royal Honours
28,Carnarvon,AU,79.92,-24.8667,113.6333,Hospitality Carnarvon
30,Airai,TL,71.94,-8.9266,125.4092,
36,Kapaa,US,79.12,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Hithadhoo,MV,80.76,-0.6,73.0833,Scoop Guest House
38,Hermanus,ZA,70.81,-34.4187,19.2345,Misty Waves Boutique Hotel
39,Atuona,PF,78.84,-9.8,-139.0333,Villa Enata
40,Avarua,CK,84.25,-21.2078,-159.775,Paradise Inn
41,Santa Maria Da Vitoria,BR,70.97,-13.3947,-44.1886,Pousada Rio Current
45,Sinnamary,GF,75.72,5.3833,-52.95,ALETHEIA Appartement Sinnamary
46,Butaritari,KI,80.96,3.0707,172.7902,Isles Sunset Lodge
49,Pouembout,NC,82.74,-21.1333,164.9,Tipengz
51,Morondava,MG,78.33,-20.2833,44.2833,La Case Bambou
53,Kahului,US,76.84,20.8947,-156.47,Maui Seaside Hotel
54,Bengkulu,ID,82.71,-3.8004,102.2655,Grage Hotel Bengkulu
62,Tautira,PF,81.77,-17.7333,-149.15,Pension Oaoa
65,Katherine,AU,86.32,-14.4667,132.2667,Pine Tree Motel
70,Kimbe,PG,84.65,-5.5502,150.1429,Kimbe Bay Hotel
77,Bull Savanna,JM,70.38,17.8868,-77.5902,Big Red's
87,Arraial Do Cabo,BR,75.69,-22.9661,-42.0278,Pousada Porto Praia
93,Faanui,PF,82.08,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
96,Saint-Philippe,RE,80.19,-21.3585,55.7679,Le four à pain
99,Hambantota,LK,79.25,6.1241,81.1185,Bungalow 63
106,Esperance,AU,73.9,-33.8667,121.9,Hospitality Esperance
107,Champerico,GT,77.85,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
108,Meulaboh,ID,81.27,4.1363,96.1285,Kost Pria
110,Aripuana,BR,72.72,-9.1667,-60.6333,
115,Hilo,US,71.33,19.7297,-155.09,Hilo Hawaiian Hotel
117,Sao Filipe,CV,71.11,14.8961,-24.4956,Hotel Xaguate
118,Bima,ID,85.51,-8.4667,118.7167,Lambitu Hotel
125,Nouakchott,MR,73.33,18.0858,-15.9785,HOTEL IMAN
126,Kudahuvadhoo,MV,80.26,2.6708,72.8944,Niyama Private Islands Maldives
129,Kloulklubed,PW,82.9,7.0419,134.2556,Storyboard Beach Resort
131,Waipawa,NZ,71.62,-41.4122,175.5153,Tora Coastal Walk
132,Coahuayana,MX,72.82,18.7333,-103.6833,El rranchito michuacan de ocampos
135,Tura,IN,76.87,25.5198,90.2201,Hotel RIKMAN Continental
143,Narasannapeta,IN,77.22,18.4167,84.05,AVK events and catering
145,Mitu,CO,74.95,1.1983,-70.1733,
148,Axim,GH,77.25,4.8699,-2.2405,Axim Beach Resort And Spa
150,Puerto Escondido,MX,81.43,15.85,-97.0667,Aldea del Bazar Hotel and Spa
151,Bowen,AU,82.06,-20.0167,148.2333,Castle Motor Lodge Motel
154,Victoria,HK,71.26,22.2855,114.1577,Mini Central
156,Mae Sai,TH,78.75,20.4335,99.8762,Piyaporn Hill Paradise Hotel
159,Mount Gambier,AU,76.75,-37.8333,140.7667,The Commodore
161,Tuatapere,NZ,74.77,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
165,Qui Nhon,VN,74.77,13.7667,109.2333,Seagull Hotel
168,Bintulu,MY,79.21,3.1667,113.0333,900 Boutique INN
169,Puerto Ayora,EC,80.55,-0.7393,-90.3518,Finch Bay Galapagos Hotel
179,Faqirwali,PK,72.37,29.4663,73.034,Al makkah tayer faqirwali
180,Chabahar,IR,72.05,25.2919,60.643,هتل گدروشیا
186,Lethem,GY,76.57,3.3803,-59.7968,Savannah Inn
187,Ambon,ID,87.94,-3.6954,128.1814,Swiss-Belhotel Ambon
189,Las Tunas,CU,72.75,20.9617,-76.9511,Hotel Cadillac
190,Saint-Leu,RE,81.43,-21.15,55.2833,La Caz Oceane
192,Cururupu,BR,72.23,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
194,Pizarro,CO,76.75,4.9533,-77.366,Hotel Limonar
197,Georgetown,MY,85.95,5.4112,100.3354,Cititel Penang
199,Bathsheba,BB,77.61,13.2167,-59.5167,Atlantis Hotel
206,Kita,ML,74.95,13.0349,-9.4895,Hôtel Chat Rouge
207,Sur,OM,71.35,22.5667,59.5289,Sur Plaza Hotel
209,Adrar,MR,72.05,20.5022,-10.0711,
213,Flinders,AU,88.18,-34.5833,150.8552,Shellharbour Resort & Conference Centre
215,Pemangkat,ID,82.31,1.1667,108.9667,Hotel Duyung Permai 2
217,Boueni,YT,75.18,-12.9025,45.0761,The feet in water
223,Padang,ID,84.25,-0.9492,100.3543,Mercure Padang
225,Le Port,RE,82.36,-20.9373,55.2919,KORBEY D'OR OUEST
227,Mana,GF,74.89,5.6592,-53.7767,LE SAMANA
230,Tadine,NC,80.24,-21.55,167.8833,
232,Mweka,CD,71.08,-4.85,21.5667,Guest House Boshab
233,Vaini,TO,78.96,-21.2,-175.2,Keleti Beach Resort
237,Tecoanapa,MX,78.13,16.5167,-98.75,Hotel Manglares
238,Itupiranga,BR,75.52,-5.1347,-49.3267,Hotel Panorama
240,Taltal,CL,73.06,-25.4,-70.4833,Residencial Karime
243,Chahuites,MX,75.92,16.2833,-94.1833,Ballado
244,Puerto Leguizamo,CO,73.2,-0.1934,-74.7819,la casona de juancho
245,Salalah,OM,77.09,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
246,Berbera,SO,73.11,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
249,Ladario,BR,70.68,-19.0047,-57.6017,Hotel Fazenda 4 cantos
252,Kismayo,SO,76.28,-0.3582,42.5454,Agan-Hotel
253,Mount Isa,AU,83.97,-20.7333,139.5,ibis Styles Mt Isa Verona
258,Proddatur,IN,75.54,14.7333,78.55,Sri Swasthik Residency
262,Bambous Virieux,MU,81.21,-20.3428,57.7575,Casa Tia Villa
264,Diamantino,BR,71.24,-14.4086,-56.4461,Hotel Delta
268,Road Town,VG,77.09,18.4167,-64.6167,Nanny Cay Resort & Marina
271,Campoverde,PE,73.09,-8.4753,-74.8058,Hospedaje Coral's
276,Balabac,PH,81.9,7.9868,117.0645,Divina's Inn
278,Daru,PG,84.67,-9.0763,143.2092,Daru Lodge
285,Praia,CV,72.14,14.9215,-23.5087,LT Aparthotel
287,Takoradi,GH,77.31,4.8845,-1.7554,Raybow International Hotel
289,Port Lincoln,AU,78.35,-34.7333,135.8667,Port Lincoln Hotel
290,Simpang,ID,77.77,-1.2667,104.0833,Budidaya Pembesaran Ikan
292,Saint-Georges,GD,74.88,12.0564,-61.7485,Radisson Grenada Beach Resort
